YGL116W	YJL030W
YIL004C	YIL109C
YDL140C	YDR404C
YDL209C	YLL036C
YBR279W	YOL145C
YFL036W	YMR228W
YDR468C	YOL018C
YBR034C	YDR432W
YMR109W	YOR181W
YMR146C	YMR309C
YIL004C	YPR181C
YDL140C	YGL130W
YLR008C	YNR017W
YER146W	YJL124C
YIR025W	YKL022C
YDR388W	YMR192W
YDR129C	YFL039C
YAL043C	YKL059C
YDL140C	YPR086W
YDR392W	YER148W
YBR079C	YMR309C
YJR090C	YPL256C
YEL037C	YER162C
YKL068W	YLR347C
YLR071C	YNR010W
YCR052W	YIL126W
YML064C	YMR055C
YJR068W	YNL290W
YDR167W	YMR236W
YDL043C	YJL203W
YDR214W	YPL240C
YGL112C	YMR236W
YER018C	YIL144W
YDR228C	YMR061W
YAL041W	YOR212W
YIL021W	YOR151C
YGR040W	YHR084W
YDL225W	YJR076C
YBR279W	YLR418C
YLR197W	YOR310C
YPL237W	YPR041W
YDR167W	YML114C
YGL058W	YGR184C
YER016W	YPL269W
YKL196C	YLR026C
YAL041W	YJL157C
YAL043C	YKR002W
YLR357W	YMR033W
YDR088C	YGR006W
YGR274C	YMR236W
YHL031C	YLR026C
YGL003C	YPR119W
YEL037C	YGL048C
YHR107C	YLR314C
YBR155W	YPL240C
YAL034WA	YIR010W
YDR328C	YOR057W
YLR216C	YPL240C
YLR229C	YNL271C
YGR274C	YML015C
YDR138W	YNL139C
YHR107C	YHR107C
YMR146C	YNL244C
YER022W	YLR071C
YAL043C	YER133W
YDR429C	YOR361C
YLR337C	YMR109W
YDR228C	YGL044C
YGL150C	YJL081C
YKR101W	YML065W
YDL140C	YLR071C
YDR392W	YGL112C
YDR016C	YGL061C
YLR384C	YPL086C
YFR037C	YIL126W
YKL058W	YOR194C
YDR224C	YDR225W
YDR227W	YNL216W
YDR260C	YKL022C
YKR008W	YLR357W
YLR071C	YOL135C
YKL006CA	YLR026C
YHR085W	YHR197W
YKL196C	YOR106W
YIL046W	YNL103W
YBR200W	YLR229C
YDL220C	YDR082W
YFL039C	YLL050C
YDR142C	YGL153W
YDR164C	YMR183C
YAL005C	YNL064C
YAL021C	YCR093W
YAL040C	YBR160W
YAL043C	YLR115W
YDL140C	YPR187W
YOL135C	YOR174W
YDR429C	YMR146C
YJR050W	YLL036C
YDR207C	YJR094C
YDR211W	YLR291C
YKL129C	YLR337C
YDL106C	YDR146C
YKL203C	YNL006W
YNL189W	YOR098C
YDR123C	YOL108C
YCR077C	YER146W
YBR135W	YBR160W
YBR198C	YDR145W
YLR026C	YMR197C
YBR289W	YOR290C
YDR028C	YDR477W
YER173W	YNL290W
YFL024C	YOR244W
YFL034CB	YNL161W
YFL039C	YOR122C
YBR079C	YDR429C
YDR164C	YNR049C
YHR041C	YLR071C
YDR201W	YKR037C
YGL112C	YMR223W
YBR160W	YFL029C
YAL034WA	YPL233W
YIL004C	YPL218W
YIL021W	YOL005C
YAL043C	YLR277C
YIL072W	YLR263W
YBL023C	YEL032W
YJL002C	YOR085W
YJL041W	YJL061W
YGR119C	YJL041W
YER165W	YGL049C
YLR292C	YOR254C
YLR357W	YPR034W
YBR010W	YDR225W
YBR045C	YER133W
YCR066W	YGL058W
YDR167W	YML015C
YML115C	YPL050C
YHR090C	YOR244W
YBR160W	YDL155W
YDR260C	YLR127C
YER112W	YJR022W
YBR198C	YMR005W
YBR217W	YPL149W
YBL016W	YPL049C
YDR388W	YDR388W
YJL034W	YOL031C
YDL235C	YHR206W
YLR288C	YPL194W
YJL112W	YLL001W
YJL157C	YPL256C
YGL048C	YHR027C
YDL047W	YIL153W
YDR211W	YGR083C
YGL244W	YLR418C
YGR002C	YOR244W
YGR005C	YPL129W
YGR040W	YPL049C
YLR079W	YPR119W
YGR103W	YPL093W
YER172C	YJR022W
YFL009W	YJL194W
YDR448W	YPL254W
YFL039C	YOR181W
YLR418C	YOL145C
YDR480W	YGR040W
YDR118W	YGL240W
YDR138W	YML062C
YDR142C	YHR160C
YDR145W	YMR223W
YEL002C	YGL022W
YDR192C	YGR218W
YDL084W	YDR138W
YDL097C	YDR427W
YDL134C	YMR028W
YBL007C	YOR181W
YDL225W	YHR107C
YBL050W	YLR093C
YBL052C	YPL129W
YBR009C	YDR225W
YJR066W	YNL006W
YBR087W	YER173W
YJR076C	YJR076C
YBR088C	YJR043C
YHR027C	YKL145W
YDR167W	YML098W
YDL035C	YER020W
YMR117C	YOL069W
YDL047W	YMR028W
YKL079W	YOR326W
YMR198W	YPR141C
YKR068C	YML077W
YER070W	YML058W
YIL004C	YLR268W
YDR308C	YLR071C
YLL036C	YLR117C
YGR002C	YHR090C
YBR198C	YMR223W
YDR381W	YPL169C
YGR104C	YHR041C
YDR388W	YLR144C
YOR341W	YPR010C
YCR009C	YMR232W
YFL039C	YGL150C
YFR002W	YGL172W
YJR053W	YMR055C
YCR088W	YNL094W
YBR088C	YDR097C
YJR094C	YMR139W
YDR176W	YMR223W
YDR181C	YMR127C
YHR077C	YMR080C
YGL105W	YGL245W
YDR260C	YHR166C
YER040W	YNL229C
YDL132W	YDR139C
YBR198C	YLR055C
YLR079W	YPR120C
YBL016W	YLR362W
YLR115W	YNL222W
YBR279W	YOR123C
YER172C	YKL173W
YGR233C	YPL031C
YDR480W	YHR084W
YMR043W	YNL068C
YEL036C	YPL050C
YBR133C	YJL187C
YHR124W	YJL106W
YAL030W	YGR009C
YNL216W	YPL075W
